Number of Threads,Average Time (seconds)
1,2.6414379358291624
2,2.4267407655715942
3,2.7881820440292358
4,2.67951295375824
5,3.104741644859314
6,3.423266077041626
7,3.2627554416656492
8,3.2152904748916624
9,3.1106099128723144
10,2.8296686172485352
